competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-02,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-02,CAMPOS,Perenco Brasil,7439.3404,52.0865,55586.9009,41,0.147,44.04,88.2,181.45
2022-02,CAMPOS,Petro Rio Jaguar,15695.5201,191.4907,23529.9861,11,0.31,76.74,59.99,1426.87
2022-02,CAMPOS,Petro Rio O&G,18967.8138,92.98920000000001,53231.7114,21,0.374,30.84,73.73,903.23
2022-02,CAMPOS,Petrobras,654353.1955,15845.085799999999,921139.1172,504,12.903,152.31,58.47,1298.32
2022-02,CAMPOS,Shell Brasil,25196.4485,250.3122,94275.0363,29,0.497,62.49,78.91,868.84
2022-02,CAMPOS,Trident Energy,11294.5489,123.4124,49433.370500000005,100,0.223,68.73,81.4,112.95
2022-02,SANTOS,Enauta Energia,8250.3214,51.7925,2314.2277999999997,3,0.163,39.49,21.91,2750.11
2022-02,SANTOS,Karoon Brasil,12782.7896,82.3125,18284.7345,6,0.252,40.5,58.85,2130.46
2022-02,SANTOS,Petrobras,4190711.2415,182185.0024,309368.8928,640,82.637,273.44,6.87,6547.99
2022-02,SANTOS,TotalEnergies EP,113412.5974,5133.7904,3966.8306000000002,11,2.236,284.72,3.38,10310.24
2022-02,SOLIMOES,Petrobras,13104.3249,8909.0919,20766.9409,104,0.258,4276.19,61.31,126.0
