competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-08,CAMPOS,Equinor Brasil,55124.2613,93.541,99692.6154,40,1.028,10.67,64.39,1378.11
2022-08,CAMPOS,Perenco Brasil,9808.761700000001,31.5979,79103.5933,45,0.183,20.26,88.97,217.97
2022-08,CAMPOS,Petro Rio Jaguar,22374.5281,246.507,15657.1814,11,0.417,69.3,41.17,2034.05
2022-08,CAMPOS,Petro Rio O&G,17038.5008,77.6882,52261.0991,20,0.318,28.68,75.41,851.93
2022-08,CAMPOS,Petrobras,621592.8047,12760.0028,1000348.081,486,11.587,129.12,61.68,1279.0
2022-08,CAMPOS,Shell Brasil,39227.1161,399.7554,99385.1885,29,0.731,64.1,71.7,1352.66
2022-08,CAMPOS,Trident Energy,22661.2146,453.2624,88380.0093,101,0.422,125.81,79.59,224.37
2022-08,SANTOS,Enauta Energia,3045.1608,19.302,1331.8896,3,0.057,39.87,30.43,1015.05
2022-08,SANTOS,Karoon Brasil,12284.5505,76.9958,23710.5757,6,0.229,39.42,65.87,2047.43
2022-08,SANTOS,Petrobras,4435459.8688,190456.9002,282248.6798,646,82.68,270.08,5.98,6866.04
2022-08,SANTOS,TotalEnergies EP,112646.3418,4378.0282,3065.4178,11,2.1,244.46,2.65,10240.58
2022-08,SOLIMOES,Petrobras,13372.8236,9292.815,23907.254,104,0.249,4370.82,64.13,128.58
