competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-11,CAMPOS,3R Petroleum Off,17536.1475,68.2047,26.545099999999998,3,0.328,24.46,0.15,5845.38
2022-11,CAMPOS,Equinor Brasil,73726.297,143.0251,98954.9287,42,1.377,12.2,57.3,1755.39
2022-11,CAMPOS,Perenco Brasil,9840.9895,33.4881,58161.0025,47,0.184,21.4,85.53,209.38
2022-11,CAMPOS,Petro Rio Jaguar,30770.4529,342.0619,26625.7638,11,0.575,69.92,46.39,2797.31
2022-11,CAMPOS,Petro Rio O&G,15712.8574,66.0789,51929.2679,21,0.294,26.45,76.77,748.23
2022-11,CAMPOS,Petrobras,604861.9411,13886.1986,893587.9331,236,11.299,144.4,59.63,2562.97
2022-11,CAMPOS,Shell Brasil,26288.4116,227.0998,67750.3539,29,0.491,54.34,72.05,906.5
2022-11,CAMPOS,Trident Energy,18805.9398,289.1981,69587.5038,102,0.351,96.73,78.72,184.37
2022-11,SANTOS,Enauta Energia,12852.9584,95.35730000000001,6407.691500000001,3,0.24,46.66,33.27,4284.32
2022-11,SANTOS,Karoon Brasil,21750.2152,136.8764,31240.8959,6,0.406,39.58,58.95,3625.04
2022-11,SANTOS,Petrobras,4451875.972,195460.1671,270324.6346,615,83.161,276.16,5.72,7238.82
2022-11,SANTOS,TotalEnergies EP,56736.988000000005,2132.6962,1384.4124000000002,11,1.06,236.43,2.38,5157.91
2022-11,SOLIMOES,Petrobras,12588.1761,9275.6809,21009.4989,68,0.235,4634.7,62.53,185.12
