competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-09,CAMPOS,Equinor Brasil,60299.1537,82.9138,92284.7785,41,1.108,8.65,60.48,1470.71
2022-09,CAMPOS,Perenco Brasil,10256.1489,37.8865,71353.0148,44,0.188,23.23,87.43,233.09
2022-09,CAMPOS,Petro Rio Jaguar,32639.7614,355.6354,24480.410099999997,11,0.6,68.53,42.86,2967.25
2022-09,CAMPOS,Petro Rio O&G,17079.8848,70.9532,51526.3493,21,0.314,26.13,75.1,813.33
2022-09,CAMPOS,Petrobras,659513.784,15242.8102,963123.2161,239,12.115,145.37,59.36,2759.47
2022-09,CAMPOS,Shell Brasil,38084.5458,367.9112,80293.3468,29,0.7,60.76,67.83,1313.26
2022-09,CAMPOS,Trident Energy,22317.989,311.2618,93695.616,101,0.41,87.72,80.76,220.97
2022-09,SANTOS,Enauta Energia,5488.3645,44.9799,2252.4837,3,0.101,51.55,29.1,1829.45
2022-09,SANTOS,Karoon Brasil,15757.6316,100.0369,29459.3735,6,0.289,39.93,65.15,2626.27
2022-09,SANTOS,Petrobras,4459706.0396,193924.9283,310151.1745,626,81.924,273.51,6.5,7124.13
2022-09,SANTOS,TotalEnergies EP,109711.8184,4562.9884,2804.7814,11,2.015,261.6,2.49,9973.8
2022-09,SOLIMOES,Petrobras,12885.5367,8618.3039,22722.482500000002,67,0.237,4206.86,63.81,192.32
