competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-07,CAMPOS,Equinor Brasil,14811.2392,20.5152,36406.3552,40,0.286,8.71,71.08,370.28
2022-07,CAMPOS,Perenco Brasil,9182.4835,30.4227,68041.7974,45,0.178,20.84,88.11,204.06
2022-07,CAMPOS,Petro Rio Jaguar,27811.0748,320.5489,21234.6562,12,0.538,72.5,43.3,2317.59
2022-07,CAMPOS,Petro Rio O&G,17360.4823,74.3235,51256.0496,21,0.336,26.93,74.7,826.69
2022-07,CAMPOS,Petrobras,554591.8757,10983.9012,911878.1416,497,10.721,124.57,62.18,1115.88
2022-07,CAMPOS,Shell Brasil,22832.005699999998,187.1069,62765.5645,29,0.441,51.54,73.33,787.31
2022-07,CAMPOS,Trident Energy,20909.6355,350.5566,84120.9759,101,0.404,105.45,80.09,207.03
2022-07,SANTOS,Enauta Energia,333.9909,1.9975,144.3999,3,0.006,37.62,30.18,111.33
2022-07,SANTOS,Karoon Brasil,14004.0961,86.4657,20840.0795,6,0.271,38.84,59.81,2334.02
2022-07,SANTOS,Petrobras,4363526.4338,186166.1197,262105.3314,675,84.353,268.35,5.67,6464.48
2022-07,SANTOS,TotalEnergies EP,114604.27040000001,4269.1502,3108.2454,11,2.215,234.3,2.64,10418.57
2022-07,SOLIMOES,Petrobras,12960.4699,9429.9184,24307.4,104,0.251,4576.42,65.22,124.62
