competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-10,CAMPOS,Equinor Brasil,65391.7734,109.1681,97196.1897,42,1.16,10.5,59.78,1556.95
2022-10,CAMPOS,Perenco Brasil,11042.5581,35.7021,67857.0718,46,0.196,20.34,86.0,240.06
2022-10,CAMPOS,Petro Rio Jaguar,31061.5816,345.2473,26445.0517,11,0.551,69.91,45.99,2823.78
2022-10,CAMPOS,Petro Rio O&G,16506.3057,70.4338,49162.8766,21,0.293,26.84,74.86,786.01
2022-10,CAMPOS,Petrobras,645187.6361,14700.6211,841885.204,233,11.444,143.31,56.61,2769.05
2022-10,CAMPOS,Shell Brasil,41813.491200000004,404.4768,100213.71280000001,29,0.742,60.84,70.56,1441.84
2022-10,CAMPOS,Trident Energy,17456.1815,282.1968,60142.9514,102,0.31,101.68,77.5,171.14
2022-10,SANTOS,Enauta Energia,14744.8344,121.4074,7299.9839,3,0.262,51.79,33.11,4914.94
2022-10,SANTOS,Karoon Brasil,23390.4823,152.1991,30344.6596,6,0.415,40.93,56.47,3898.41
2022-10,SANTOS,Petrobras,4646779.1693,206732.6347,322021.2022,624,82.42,279.83,6.48,7446.76
2022-10,SANTOS,TotalEnergies EP,111198.1434,4742.9594,2801.6884,11,1.972,268.28,2.46,10108.92
2022-10,SOLIMOES,Petrobras,13331.1823,9679.3574,22982.7735,66,0.236,4566.84,63.29,201.99
