competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-03,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-03,CAMPOS,Perenco Brasil,4901.8243,37.5208,38122.4673,41,0.095,48.15,88.61,119.56
2022-03,CAMPOS,Petro Rio Jaguar,15564.005000000001,196.1816,23193.0373,11,0.301,79.28,59.84,1414.91
2022-03,CAMPOS,Petro Rio O&G,18531.0422,97.166,49690.5158,21,0.359,32.98,72.84,882.43
2022-03,CAMPOS,Petrobras,672154.1162,14763.9428,1006682.9348,503,13.012,138.16,59.96,1336.29
2022-03,CAMPOS,Shell Brasil,27436.3686,277.3334,101717.9091,29,0.531,63.58,78.76,946.08
2022-03,CAMPOS,Trident Energy,8034.4878,102.449,36422.5492,100,0.156,80.2,81.93,80.34
2022-03,SANTOS,Enauta Energia,12209.7752,75.6862,3616.5595999999996,3,0.236,38.99,22.85,4069.93
2022-03,SANTOS,Karoon Brasil,9307.680499999999,62.3414,13342.7676,6,0.18,42.13,58.91,1551.28
2022-03,SANTOS,Petrobras,4271783.4419,184069.7648,333862.4738,654,82.694,271.03,7.25,6531.78
2022-03,SANTOS,TotalEnergies EP,112158.2242,4873.7464,3483.804,11,2.171,273.32,3.01,10196.2
2022-03,SOLIMOES,Petrobras,13667.3192,9477.2948,22828.0598,104,0.265,4361.54,62.55,131.42
