competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-04,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-04,CAMPOS,Perenco Brasil,8321.303100000001,50.8311,61703.9889,42,0.159,38.42,88.12,198.13
2022-04,CAMPOS,Petro Rio Jaguar,14821.6648,180.7954,21426.189599999998,11,0.284,76.72,59.11,1347.42
2022-04,CAMPOS,Petro Rio O&G,17950.9396,90.6979,47841.4863,21,0.344,31.78,72.72,854.81
2022-04,CAMPOS,Petrobras,681082.147,15690.4515,1047760.4085,498,13.047,144.9,60.6,1367.63
2022-04,CAMPOS,Shell Brasil,6125.3652999999995,60.7551,30146.778299999998,29,0.117,62.39,83.11,211.22
2022-04,CAMPOS,Trident Energy,12767.8213,183.9607,51484.3222,100,0.245,90.62,80.13,127.68
2022-04,SANTOS,Enauta Energia,12169.0799,77.9654,4159.6401000000005,3,0.233,40.3,25.47,4056.36
2022-04,SANTOS,Karoon Brasil,12964.453099999999,82.18090000000001,18727.8371,6,0.248,39.87,59.09,2160.74
2022-04,SANTOS,Petrobras,4325565.3629,185673.7862,253019.1699,650,82.862,269.99,5.53,6654.72
2022-04,SANTOS,TotalEnergies EP,114496.397,4547.1968,3640.995,11,2.193,249.8,3.08,10408.76
2022-04,SOLIMOES,Petrobras,13950.6519,9966.6609,23594.6404,104,0.267,4493.59,62.84,134.14
