competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-12,CAMPOS,3R Petroleum Off,17927.790399999998,76.2619,101.2016,3,0.335,26.76,0.56,5975.93
2022-12,CAMPOS,Equinor Brasil,81496.042,164.447,86990.4115,44,1.521,12.69,51.63,1852.18
2022-12,CAMPOS,Perenco Brasil,10971.9644,34.8669,62143.6059,47,0.205,19.99,84.99,233.45
2022-12,CAMPOS,Petro Rio Jaguar,51501.5991,727.6821,79039.4582,29,0.961,88.87,60.55,1775.92
2022-12,CAMPOS,Petro Rio O&G,13992.2991,61.4256,51017.2077,20,0.261,27.61,78.48,699.61
2022-12,CAMPOS,Petrobras,546770.3992,11744.0766,823904.1851,207,10.206,135.1,60.11,2641.4
2022-12,CAMPOS,Shell Brasil,12042.438,124.8795,26650.2035,29,0.225,65.23,68.88,415.26
2022-12,CAMPOS,Trident Energy,22881.9414,387.2555,94660.5053,102,0.427,106.45,80.53,224.33
2022-12,SANTOS,Enauta Energia,12958.4005,100.244,6599.3478,3,0.242,48.66,33.74,4319.47
2022-12,SANTOS,Karoon Brasil,22772.3733,149.3505,32471.7833,6,0.425,41.25,58.78,3795.4
2022-12,SANTOS,Petrobras,4512116.2242,197264.795,361196.8138,624,84.226,274.98,7.41,7230.96
2022-12,SANTOS,TotalEnergies EP,39574.672999999995,1416.0528,1556.444,11,0.739,225.06,3.78,3597.7
2022-12,SOLIMOES,Petrobras,12120.2027,9030.3422,20167.8566,68,0.226,4686.33,62.46,178.24
