competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-06,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-06,CAMPOS,Perenco Brasil,9643.9874,47.1633,75233.3852,43,0.195,30.76,88.64,224.28
2022-06,CAMPOS,Petro Rio Jaguar,14049.6009,186.46450000000002,18481.6359,9,0.284,83.48,56.81,1561.07
2022-06,CAMPOS,Petro Rio O&G,17329.5963,95.9214,48527.8879,21,0.35,34.81,73.69,825.22
2022-06,CAMPOS,Petrobras,607876.8412,14273.7722,965235.9364,498,12.271,147.69,61.36,1220.64
2022-06,CAMPOS,Shell Brasil,12358.5345,102.8851,36003.427299999996,29,0.249,52.36,74.45,426.16
2022-06,CAMPOS,Trident Energy,20784.2906,279.0969,77451.5,101,0.42,84.46,78.84,205.79
2022-06,SANTOS,Enauta Energia,10988.4993,69.7466,4870.4514,3,0.222,39.92,30.71,3662.83
2022-06,SANTOS,Karoon Brasil,10343.0895,65.94569999999999,13870.5065,6,0.209,40.1,57.28,1723.85
2022-06,SANTOS,Petrobras,4123550.8668,171643.8378,253835.22639999999,659,83.244,261.82,5.8,6257.29
2022-06,SANTOS,TotalEnergies EP,113497.1348,4242.812,3456.5442000000003,11,2.291,235.13,2.96,10317.92
2022-06,SOLIMOES,Petrobras,13149.0468,9360.857,24048.0724,104,0.265,4477.75,64.65,126.43
