competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-01,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-01,CAMPOS,Perenco Brasil,8203.9904,43.8779,54097.6455,41,0.156,33.64,86.83,200.1
2022-01,CAMPOS,Petro Rio Jaguar,15878.8973,197.87900000000002,23775.4697,11,0.303,78.38,59.96,1443.54
2022-01,CAMPOS,Petro Rio O&G,17882.5811,97.7209,51785.247,21,0.341,34.37,74.33,851.55
2022-01,CAMPOS,Petrobras,739961.6572,17998.4986,1104365.8803,503,14.114,152.99,59.88,1471.1
2022-01,CAMPOS,Shell Brasil,29984.2357,303.8469,99189.6767,29,0.572,63.74,76.79,1033.94
2022-01,CAMPOS,Trident Energy,14554.4174,168.159,62467.2613,100,0.278,72.67,81.1,145.54
2022-01,SANTOS,Enauta Energia,6283.7981,46.0118,1702.9194,3,0.12,46.06,21.32,2094.6
2022-01,SANTOS,Karoon Brasil,13077.7011,85.5016,17983.728,6,0.249,41.12,57.9,2179.62
2022-01,SANTOS,Petrobras,4268799.3035,185136.5517,282880.3689,650,81.421,272.79,6.21,6567.38
2022-01,SANTOS,TotalEnergies EP,114318.4898,5369.4644,3315.1074,11,2.18,295.43,2.82,10392.59
2022-01,SOLIMOES,Petrobras,13954.3512,9729.6036,22340.789099999998,104,0.266,4385.55,61.55,134.18
